query_id,first_relevant_rank
EP1729131,
EP1538770,21.0
EP1577235,
EP1552771,11.0
EP1388291,188.0
EP1574376,9.0
EP1471496,6.0
EP1471636,36.0
EP1478098,668.0
EP1382677,117.0
EP1359241,
EP1376241,166.0
EP1598468,40.0
EP1503336,32.0
EP1480065,58.0
EP1277917,1.0
EP1564797,6.0
EP1310414,7.0
EP1345280,14.0
EP1375299,10.0
EP1521235,62.0
EP1460284,24.0
EP1517469,38.0
EP1916777,96.0
EP1624320,3.0
EP1241368,64.0
EP1415799,113.0
EP1927695,1.0
EP1233520,301.0
EP1767597,
EP1350822,
EP1477447,7.0
EP1288243,4.0
EP1743646,1.0
EP1541559,
EP1586248,175.0
EP1253083,2.0
EP1690745,
EP1256635,1.0
EP1324251,1.0
EP1586243,3.0
EP1332759,221.0
EP1285978,
EP1864692,
EP1894596,105.0
EP1936160,105.0
EP1430929,21.0
EP1343253,7.0
EP1266571,5.0
EP1311098,104.0
EP1770116,26.0
EP1595695,1.0
EP1433808,1.0
EP1428866,221.0
EP1514572,
EP1887424,56.0
EP1548089,46.0
EP1487040,
EP1499108,16.0
EP1574231,2.0
EP1513131,102.0
EP1566216,
EP1251499,6.0
EP1449914,2.0
EP1548008,358.0
EP1465452,36.0
EP1367382,16.0
EP1487215,602.0
EP1462342,2.0
EP1457423,
EP1285628,
EP1432099,349.0
EP1489104,
EP1542421,4.0
EP1707587,1.0
EP1447177,83.0
EP1375062,1.0
EP1437486,
EP1417980,
EP1352614,1.0
EP1245876,25.0
EP1361203,7.0
EP1298598,
EP1371845,5.0
EP1382738,1.0
EP1293424,1.0
EP1357461,58.0
EP1447753,143.0
EP1408129,13.0
EP1364762,28.0
EP1477500,
EP1493559,1.0
EP1387367,7.0
EP1422738,1.0
EP1905694,
EP1380425,59.0
EP1879188,79.0
EP1747753,
EP1932613,2.0
EP1564190,88.0
EP1645252,4.0
EP1453152,207.0
EP1483980,61.0
EP1239708,48.0
EP1383077,1.0
EP1349327,2.0
EP1813199,4.0
EP1424856,140.0
EP1418202,14.0
EP1392093,53.0
EP1354713,5.0
EP1632616,1.0
EP1298377,12.0
EP1473315,75.0
EP1496309,16.0
EP1275573,149.0
EP1467158,74.0
EP1553461,387.0
EP1324013,15.0
EP1523878,3.0
EP1304695,529.0
EP1577785,
EP1772972,48.0
EP1375887,300.0
EP1319414,324.0
EP1522233,22.0
EP1393751,
EP1744262,21.0
EP1533071,3.0
EP1733755,11.0
EP1467369,67.0
EP1508299,
EP1264727,147.0
EP1270034,7.0
EP1278070,2.0
EP1306130,2.0
EP1229358,1.0
EP1690703,408.0
EP1231495,
EP1397971,1.0
EP1325825,
EP1443135,14.0
EP1401040,28.0
EP1513063,
EP1612287,7.0
EP1377050,534.0
EP1295570,66.0
EP1628289,1.0
EP1495861,1.0
EP1346644,31.0
EP1447241,
EP1262965,234.0
EP1475631,34.0
EP1413216,177.0
EP1473763,114.0
EP1413541,1.0
EP1366763,
EP1519259,2.0
EP1494260,20.0
EP1342735,216.0
EP1284495,
EP1571437,
EP1384436,10.0
EP1473337,255.0
EP1775470,67.0
EP1335267,
EP1308646,7.0
EP1391531,1.0
EP1372136,347.0
EP1437106,63.0
EP1286111,72.0
EP1683566,
EP1408299,2.0
EP1478198,84.0
EP1551126,38.0
EP1612844,2.0
EP1400280,
EP1275723,7.0
EP1352785,35.0
EP1883080,
EP1416182,2.0
EP1361350,1.0
EP1445596,348.0
EP1801562,54.0
EP1376376,508.0
EP1522912,
EP1416701,
EP1675103,2.0
EP1501130,
EP1345218,90.0
EP1359697,44.0
EP1608187,228.0
EP1855402,
EP1645548,111.0
EP1519246,1.0
EP1498393,3.0
EP1244099,1.0
EP1611874,
EP1284187,20.0
EP1376040,190.0
EP1632960,2.0
EP1333624,1.0
EP1833135,26.0
EP1803778,6.0
EP1346739,22.0
EP1306588,8.0
EP1679122,
EP1357556,16.0
EP1733959,1.0
EP1283486,300.0
EP1443018,461.0
EP1602611,5.0
EP1336664,121.0
EP1432242,7.0
EP1528426,477.0
EP1825901,
EP1323787,1.0
EP1813345,131.0
EP1341274,174.0
EP1422845,3.0
EP1315127,61.0
EP1233414,
EP1655542,
EP1406024,2.0
EP1675192,84.0
EP1610380,36.0
EP1670005,28.0
EP1380221,10.0
EP1744585,47.0
EP1568481,
EP1521289,
EP1479881,35.0
EP1550768,
EP1473562,70.0
EP1600824,519.0
EP1375634,20.0
EP1598028,8.0
EP1344755,
EP1336399,188.0
EP1635458,37.0
EP1536060,1.0
EP1351444,76.0
EP1528710,4.0
EP1603113,
EP1504799,9.0
EP1755020,13.0
EP1437709,
EP1319741,179.0
EP1314609,127.0
EP1918933,184.0
EP1283439,607.0
EP1422915,
EP1650143,1.0
EP1416624,
EP1424100,11.0
EP1312882,7.0
EP1385049,98.0
EP1457936,
EP1430801,
